AGEMOEA, 0, 1, 2025-04-05103725-FinalExperiment, 20, 2000, 20, 0.6117683045573821, 0.13778984575430175, 2.1889999376083393, 2.1889999376083393, 1.2488507331484815, 1.2488507331484815, 1237.449, 0.000, 53.655, 40.897, 14.004253417002474, 0.5964696896980579, 0.9420600914293156, 1.0836215794863429, 0.41148782946852935, 0.5833333333333333, 0.14384057971014497, 0.1333333333333333, 1.0

AGEMOEA, 0, 2, 2025-04-05103725-FinalExperiment, 20, 2000, 40, 0.41020045454360965, 0.15561093089825928, 1.9788408713222942, 1.9788408713222942, 1.2311312211374725, 1.2311312211374725, 901.737, 0.000, 45.401, 22.331, 14.004253417002474, 0.25948270968474385, 0.6433133897256031, 0.3551398774193876, 0.16895751459160646, 0.5666666666666667, 0.12137681159420277, 0.16666666666666663, 1.0

AGEMOEA, 0, 3, 2025-04-05103725-FinalExperiment, 20, 2000, 60, 0.7358838460625409, 0.16570119250358137, 2.0241232561100504, 2.0241232561100504, 1.2311312211374725, 1.2311312211374725, 1382.030, 0.000, 54.918, 47.439, 14.004253417002474, 0.8058647074399186, 1.1076432467614257, 1.4824589487413322, 0.6563212568619985, 0.6, 0.13478260869565217, 0.09999999999999998, 1.0

AGEMOEA, 0, 4, 2025-04-05103725-FinalExperiment, 20, 2000, 80, 1.2581338471609587, 0.18152233063787193, 1.8939276898537862, 1.8939276898537862, 1.2263134643170557, 1.2263134643170557, 1966.086, 0.000, 115.727, 72.409, 14.004253417002474, 1.5365053083306237, 3.1887657559423617, 2.6890789277406135, 0.8322425244045046, 0.5833333333333333, 0.06847826086956521, 0.16666666666666663, 1.0

AGEMOEA, 0, 5, 2025-04-05103725-FinalExperiment, 20, 2000, 100, 1.2581338471609587, 0.19689915488989368, 1.7575790436664973, 1.7575790436664973, 1.2263134643170557, 1.2263134643170557, 1966.086, 0.000, 115.727, 72.409, 14.004253417002474, 1.5365053083306237, 3.1887657559423617, 2.6890789277406135, 0.8322425244045046, 0.5833333333333333, 0.06847826086956521, 0.16666666666666663, 1.0

AGEMOEA, 0, 6, 2025-04-05103725-FinalExperiment, 20, 2000, 120, 0.5780244138806439, 0.1989778423752899, 1.7206557768200619, 1.7206557768200619, 1.2212169483901367, 1.2212169483901367, 1179.457, 0.000, 52.603, 36.759, 14.004253417002474, 0.5263403155140647, 0.9039787316444606, 0.9555569368093373, 0.41648138241325616, 0.5333333333333333, 0.12183794466403164, 0.16666666666666663, 1.0

AGEMOEA, 0, 7, 2025-04-05103725-FinalExperiment, 20, 2000, 140, 0.5780244138806439, 0.20537830489800063, 1.6417670765193997, 1.6417670765193997, 1.2094014552676164, 1.2094014552676164, 1179.457, 0.000, 52.603, 36.759, 14.004253417002474, 0.5263403155140647, 0.9039787316444606, 0.9555569368093373, 0.41648138241325616, 0.5333333333333333, 0.12183794466403164, 0.16666666666666663, 1.0

AGEMOEA, 0, 8, 2025-04-05103725-FinalExperiment, 20, 2000, 160, 0.5687779789450039, 0.2015771500807979, 1.774870707565373, 1.774870707565373, 1.2094014552676164, 1.2094014552676164, 1208.904, 0.000, 45.842, 39.865, 14.004253417002474, 0.5906857812250037, 0.6593133752474852, 1.024191584428288, 0.5068301921085299, 0.55, 0.08586956521739142, 0.1333333333333333, 1.0

AGEMOEA, 0, 9, 2025-04-05103725-FinalExperiment, 20, 2000, 180, 0.5687779789450039, 0.2183144363841801, 1.6854813918879046, 1.6854813918879046, 1.1988733019092863, 1.1988733019092863, 1208.904, 0.000, 45.842, 39.865, 14.004253417002474, 0.5906857812250037, 0.6593133752474852, 1.024191584428288, 0.5068301921085299, 0.55, 0.08586956521739142, 0.1333333333333333, 1.0

AGEMOEA, 0, 10, 2025-04-05103725-FinalExperiment, 20, 2000, 200, 0.5687779789450039, 0.21913477547589325, 1.7127041181243663, 1.7127041181243663, 1.195910536435532, 1.195910536435532, 1208.904, 0.000, 45.842, 39.865, 14.004253417002474, 0.5906857812250037, 0.6593133752474852, 1.024191584428288, 0.5068301921085299, 0.55, 0.08586956521739142, 0.1333333333333333, 1.0

AGEMOEA, 0, 11, 2025-04-05103725-FinalExperiment, 20, 2000, 220, 0.5687779789450039, 0.22489713164591074, 1.6717786930279819, 1.6717786930279819, 1.1916498109328637, 1.1916498109328637, 1208.904, 0.000, 45.842, 39.865, 14.004253417002474, 0.5906857812250037, 0.6593133752474852, 1.024191584428288, 0.5068301921085299, 0.55, 0.08586956521739142, 0.1333333333333333, 1.0

AGEMOEA, 0, 12, 2025-04-05103725-FinalExperiment, 20, 2000, 240, 0.5687779789450039, 0.22225273599484557, 1.665138444918862, 1.665138444918862, 1.1913393038048672, 1.1913393038048672, 1208.904, 0.000, 45.842, 39.865, 14.004253417002474, 0.5906857812250037, 0.6593133752474852, 1.024191584428288, 0.5068301921085299, 0.55, 0.08586956521739142, 0.1333333333333333, 1.0

AGEMOEA, 0, 13, 2025-04-05103725-FinalExperiment, 20, 2000, 260, 0.5687779789450039, 0.23774563623713924, 1.6388123707022832, 1.6388123707022832, 1.1913393038048672, 1.1913393038048672, 1208.904, 0.000, 45.842, 39.865, 14.004253417002474, 0.5906857812250037, 0.6593133752474852, 1.024191584428288, 0.5068301921085299, 0.55, 0.08586956521739142, 0.1333333333333333, 1.0

